,rating,name,link,area_genre,price(dinner),price(lunch),holiday
166,3.64,DOLCE TACUBO,https://tabelog.com/tw/tokyo/A1303/A130303/13266450/,"代官山車站 / 西式甜點, 意式冰淇淋/冰淇淋, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
167,3.64,ノワ・ドゥ・ブール 銀座三越店,https://tabelog.com/tw/tokyo/A1301/A130101/13250832/,"銀座車站 / 蛋糕, 西式甜點",- JPY 999,-,-
168,3.64,モンブランスタイル,https://tabelog.com/tw/tokyo/A1318/A131810/13221894/,"代代木八幡車站 / 蛋糕, 西式甜點","JPY 3,000 - JPY 3,999","JPY 3,000 - JPY 3,999",-
169,3.64,アラボンヌー 赤坂店,https://tabelog.com/tw/tokyo/A1308/A130801/13007872/,"赤坂車站 / 蛋糕, 咖啡店",- JPY 999,- JPY 999,"星期日, 節假日"
170,3.63,七つ森,https://tabelog.com/tw/tokyo/A1319/A131904/13000675/,"新高圓寺車站 / 咖啡館, 咖啡店, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
171,3.63,bubó BARCELONA 表参道店,https://tabelog.com/tw/tokyo/A1306/A130601/13203821/,"表參道車站 / 巧克力, 蛋糕, 咖啡店",-,"JPY 1,000 - JPY 1,999",-
172,3.63,カフェ ウィーン 日本橋三越本店,https://tabelog.com/tw/tokyo/A1302/A130202/13011194/,"三越前車站 / 咖啡館, 咖啡店, 蛋糕","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",-
173,3.63,パティスリーレセンシエル,https://tabelog.com/tw/tokyo/A1323/A132302/13174296/,"茗荷谷車站 / 蛋糕, 咖啡店","JPY 1,000 - JPY 1,999","JPY 1,000 - JPY 1,999",星期四
174,3.63,メルシーベイク,https://tabelog.com/tw/tokyo/A1317/A131709/13170879/,"松陰神社前車站 / 蛋糕, 咖啡店",-,- JPY 999,星期四
175,3.63,レ サンク エピス,https://tabelog.com/tw/tokyo/A1315/A131501/13123405/,"青物横丁車站 / 蛋糕, 麵包, 咖啡店",- JPY 999,"JPY 1,000 - JPY 1,999",星期一
